2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2020_1,2020_2,2020_3,2020_4,2020_5,2020_6,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-15,10-15,10-15,10-15,10-15,10-15,NA,NA,NA,NA,NA,NA,10-15,10-15,10-15,10-15,10-15,10-15
10-15,10-15,10-15,10-15,10-15,10-15,NA,NA,NA,NA,NA,NA,10-15,10-15,10-15,10-15,10-15,10-15
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+
5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10
5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-20,15-20,15-20,15-20,15-20,15-20,20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA
15-20,15-20,15-20,15-20,15-20,15-20,20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA
5-10,5-10,5-10,5-10,5-10,5-10,20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA
5-10,5-10,5-10,5-10,5-10,5-10,20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
5-10,5-10,5-10,5-10,5-10,5-10,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
5-10,5-10,5-10,5-10,5-10,5-10,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10
5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
5-10,5-10,5-10,5-10,5-10,5-10,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15
5-10,5-10,5-10,5-10,5-10,5-10,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15
10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15,10-15
10-15,10-15,10-15,10-15,10-15,10-15,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
10-15,10-15,10-15,10-15,10-15,10-15,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-10,5-10,5-10,5-10,5-10,5-10,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
5-10,5-10,5-10,5-10,5-10,5-10,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10
5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10
15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20
15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20,15-20
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-10,5-10,5-10,5-10,5-10,5-10,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
5-10,5-10,5-10,5-10,5-10,5-10,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,10-15,10-15,10-15,10-15,10-15,10-15
5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,10-15,10-15,10-15,10-15,10-15,10-15
NA,NA,NA,NA,NA,NA,10-15,10-15,10-15,10-15,10-15,10-15,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,10-15,10-15,10-15,10-15,10-15,10-15,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10
NA,NA,NA,NA,NA,NA,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10
NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
NA,NA,NA,NA,NA,NA,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10
NA,NA,NA,NA,NA,NA,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10,5-10
NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5,0-5,0-5,0-5,0-5,0-5,0-5
NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5,0-5,0-5,0-5,0-5,0-5,0-5
NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+,20+
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,5-10,5-10,5-10,5-10,5-10,5-10
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,5-10,5-10,5-10,5-10,5-10,5-10
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
10-15,10-15,10-15,10-15,10-15,10-15,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
10-15,10-15,10-15,10-15,10-15,10-15,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,20+,20+,20+,20+,20+,20+
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,10-15,10-15,10-15,10-15,10-15,10-15
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,10-15,10-15,10-15,10-15,10-15,10-15
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,5-10,5-10,5-10,5-10,5-10,5-10
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,5-10,5-10,5-10,5-10,5-10,5-10
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,5-10,5-10,5-10,5-10,5-10,5-10
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,5-10,5-10,5-10,5-10,5-10,5-10
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,10-15,10-15,10-15,10-15,10-15,10-15
20+,20+,20+,20+,20+,20+,NA,NA,NA,NA,NA,NA,10-15,10-15,10-15,10-15,10-15,10-15
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-10,5-10,5-10,5-10,5-10,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-5,0-5,0-5,0-5,0-5,0-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-5,0-5,0-5,0-5,0-5,0-5
